Files,Contact,Client,Site,Student,Status,Time,Money,Other,Academic,Accommodation,Completed
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Banks;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Banks;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Banks;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Banks;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Banks;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Banks;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,Fees;Funding;,,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,,,Accom;,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,,,Accom;,TRUE
,,,Potterow,,,06/08/2012 00:00:00,,,,,FALSE
New,Visit,,Potterow,Research,Home,06/08/2012 00:00:00,,,,Accom;,TRUE
New,Letter,,Potterow,,,06/08/2012 00:00:00,,C Card;,,,TRUE
New,Phone,,Potterow,,,06/08/2012 15:31:39,Small Loans;,,,,FALSE
Existing,Visit,,Potterow,,,06/08/2012 00:00:00,,C Card;,,,FALSE
New,Visit,,Potterow,,EU,06/08/2012 00:00:00,,Uni Info;Banks;,,Accom;,TRUE
New,Visit,,Potterow,,EU,06/08/2012 00:00:00,,Uni Info;Banks;,,Accom;,TRUE
New,Phone,GS Student,Potterow,PG Taught,Home,06/08/2012 00:00:00,,,,Accom;,FALSE
New,Visit,GS Student,Potterow,PG Taught,Home,06/08/2012 00:00:00,,,Academic Appeal;,,FALSE
Existing,Visit,,Potterow,,,06/08/2012 00:00:00,,C Card;,,,FALSE
Existing,Email,,Potterow,,,07/08/2012 09:04:06,,,,Accom;,TRUE
New,Email,H'Rood Student,Potterow,UG,Home,07/08/2012 09:13:59,,,Progression;,,FALSE
,Phone,Staff,Potterow,,,07/08/2012 00:00:00,,,Complaint (Academic) ;,,FALSE
Existing,Email,KB Student,Potterow,UG,Int'l,07/08/2012 00:00:00,,,Academic Appeal;,,FALSE
New,Email,Little France,Potterow,,EU,07/08/2012 00:00:00,Funding;,,,,TRUE
Existing,Email,,Potterow,,,07/08/2012 00:00:00,Small Loans;,,,,TRUE
New,Phone,,Potterow,,,07/08/2012 00:00:00,,,,Accom;,TRUE
New,Email,Unknown,Potterow,,EU,07/08/2012 10:29:10,,,,Tenancy;,TRUE
New,Phone,GS Student,Potterow,UG,Home,07/08/2012 00:00:00,,,,Accom;,TRUE
New,Visit,,Potterow,,EU,07/08/2012 00:00:00,,,,Accom;Tenancy;,TRUE
New,Visit,,Potterow,,EU,07/08/2012 00:00:00,,,,Accom;Tenancy;,TRUE
Existing,Visit,H'Rood Student,Potterow,UG,Home,07/08/2012 09:45:14,,,Other;,,FALSE
Existing,Email,Little France,Potterow,Research,EU,07/08/2012 00:00:00,,,Complaint (Academic) ;,,FALSE
New,Visit,,Potterow,,Home,07/08/2012 00:00:00,,Tax/NI;,,Accom;,TRUE
New,Visit,,Potterow,,Int'l,07/08/2012 00:00:00,,Uni Info;,,,TRUE
New,Visit,GS Student,Potterow,Research,EU,07/08/2012 00:00:00,,,Interruption of Studies;,,FALSE
,Visit,Staff,Potterow,,,07/08/2012 00:00:00,,,Complaint (Academic) ;,,FALSE
Existing,Email,,Potterow,,,07/08/2012 14:34:08,Small Loans;,,,,FALSE
New,Email,,Potterow,,Int'l,07/08/2012 00:00:00,,,,Accom;,TRUE
New,Email,,Potterow,Research,Int'l,07/08/2012 00:00:00,,,,Accom;,TRUE
Existing,Visit,GS Student,Potterow,Research,Home,07/08/2012 00:00:00,,,Complaint (Academic) ;,,FALSE
New,Visit,,Potterow,PG Taught,Home,07/08/2012 00:00:00,Discretionary Fund;,,,,TRUE
New,Visit,KB Student,Potterow,,,07/08/2012 00:00:00,Fees;,,,Accom;,TRUE
New,Visit,Easter Bush,Potterow,,Home,07/08/2012 00:00:00,,,,Accom;,FALSE
Existing,Visit,,Potterow,,,07/08/2012 00:00:00,,C Card;,,,FALSE
Existing,Visit,,Potterow,,,07/08/2012 00:00:00,,C Card;,,,FALSE
Existing,Visit,,Potterow,,,07/08/2012 00:00:00,,C Card;,,,FALSE
Existing,Email,Little France,Potterow,Research,EU,08/08/2012 08:58:41,,,Complaint (Academic) ;,,FALSE
,Email,Staff,Potterow,,,08/08/2012 00:00:00,,,Complaint (Academic) ;,,FALSE
Existing,Email,KB Student,Potterow,UG,Int'l,08/08/2012 00:00:00,,,Academic Appeal;,,FALSE
New,Email,,Potterow,,,08/08/2012 09:21:13,,Employment;,,,TRUE
New,Visit,Little France,Potterow,,Home,08/08/2012 00:00:00,Discretionary Fund;,,,,FALSE
New,Visit,,Potterow,,Home,08/08/2012 00:00:00,,,,Tenancy;,TRUE
Existing,Visit,Unknown,Potterow,Research,Home,08/08/2012 11:30:17,Benefits;,,,,TRUE
New,Phone,,Potterow,,,08/08/2012 00:00:00,,Uni Info;,,,TRUE
Existing,Visit,Little France,Potterow,Research,EU,08/08/2012 12:27:23,,,Complaint (Academic) ;,,FALSE
Existing,Email,KB Student,Potterow,PG Taught,Int'l,08/08/2012 00:00:00,,,Academic Appeal;,,FALSE
New,Email,Unknown,Potterow,,Int'l,08/08/2012 13:15:37,,Legal;,,,FALSE
New,Phone,Unknown,Potterow,,EU,08/08/2012 00:00:00,,,,Tenancy;,TRUE
New,Visit,KB Student,Potterow,UG,Home,08/08/2012 00:00:00,,,Progression;,,FALSE
New,Phone,Non-student,Potterow,,Home,08/08/2012 00:00:00,Childcare;,,,,TRUE
New,Email,Unknown,Potterow,,Home,08/08/2012 00:00:00,,,,Council Tax;,TRUE
New,Visit,Unknown,Potterow,UG,EU,08/08/2012 00:00:00,,Uni Info;,,,TRUE
Existing,Visit,Unknown,Potterow,PG Taught,Home,08/08/2012 00:00:00,Small Loans;,,,,TRUE
New,Visit,Unknown,Potterow,PG Taught,EU,08/08/2012 00:00:00,,,,Tenancy;,TRUE
New,Visit,,Potterow,UG,Home,08/08/2012 00:00:00,Small Loans;,,,,FALSE
New,Phone,Non-student,Potterow,,Home,08/08/2012 00:00:00,Funding;,,,,FALSE
New,Visit,,Potterow,,,08/08/2012 15:59:28,,C Card;,,,FALSE
Existing,Visit,,Potterow,,,08/08/2012 00:00:00,,C Card;,,,FALSE
New,Visit,Unknown,Potterow,,Int'l,08/08/2012 00:00:00,,Legal;Tax/NI;C Card;,,Tenancy;,TRUE
New,Visit,Unknown,Potterow,PG Taught,EU,08/08/2012 00:00:00,,,,Tenancy;,TRUE
New,Visit,Unknown,Potterow,Research,Int'l,08/08/2012 00:00:00,,,,Tenancy;,TRUE
Existing,Email,Non-student,Potterow,,Home,08/08/2012 00:00:00,Funding;,,,,TRUE
New,Email,,Potterow,,EU,09/08/2012 09:30:28,Funding;,Health;Immigration;,,Council Tax;,FALSE
Existing,Email,GS Student,Potterow,Research,EU,09/08/2012 09:16:29,,,Complaint (Academic) ;,,FALSE
Existing,Email,GS Student,Potterow,UG,Home,09/08/2012 00:00:00,,,Misconduct;,,FALSE
New,Phone,,Potterow,,,09/08/2012 00:00:00,,,,Accom;,FALSE
New,Phone,,Potterow,Research,,09/08/2012 00:00:00,,,,Council Tax;,TRUE
New,Email,,Potterow,,,09/08/2012 00:00:00,,,,Tenancy;,TRUE
New,Email,H'Rood Student,Potterow,PG Taught,Int'l,09/08/2012 00:00:00,,,Special Circumstances;,,FALSE
Existing,Visit,Little France,Potterow,Research,EU,09/08/2012 00:00:00,,,Complaint (Academic) ;,,FALSE
Existing,Email,Unknown,Potterow,Research,Home,09/08/2012 09:55:58,Benefits;,,,,FALSE
Existing,Email,KB Student,Potterow,UG,Int'l,09/08/2012 00:00:00,,,Academic Appeal;,,FALSE
New,Visit,,Potterow,,Home,09/08/2012 00:00:00,,,,Accom;Tenancy;,FALSE
New,Visit,,Potterow,UG,Home,09/08/2012 00:00:00,,,,Accom;Tenancy;,FALSE
New,Visit,KB Student,Potterow,UG,Home,09/08/2012 00:00:00,,,Change of Program;,,FALSE
New,Visit,Unknown,Potterow,Research,Int'l,09/08/2012 00:00:00,,,,Tenancy;,TRUE
New,Email,Unknown,Potterow,,Int'l,09/08/2012 00:00:00,,,,Tenancy;,FALSE
Existing,Visit,,Potterow,,,09/08/2012 00:00:00,,C Card;,,,FALSE
Existing,Visit,,Potterow,,,09/08/2012 00:00:00,,C Card;,,,FALSE
New,Email,,Potterow,,,09/08/2012 00:00:00,Fees;,,,,TRUE
New,Visit,,Potterow,,Int'l,09/08/2012 14:01:42,,,,Tenancy;,FALSE
Existing,Visit,,Potterow,,,09/08/2012 14:06:15,,C Card;,,,FALSE
New,Phone,Staff,Potterow,,Home,09/08/2012 00:00:00,,Uni Info;,,,TRUE
Existing,Email,Unknown,Potterow,PG Taught,EU,09/08/2012 00:00:00,,,,Tenancy;,FALSE
Existing,Email,Non-student,Potterow,,Home,09/08/2012 00:00:00,Debt;,,,,FALSE
New,Visit,Non-student,Potterow,,Home,09/08/2012 00:00:00,SAAS/SFE;,,,,TRUE
Existing,Email,,Potterow,,,09/08/2012 00:00:00,,Immigration;,Special Circumstances;,Council Tax;,TRUE
New,Visit,,Potterow,Research,Home,09/08/2012 00:00:00,,,,Council Tax;,FALSE
Existing,Email,,Potterow,,Home,09/08/2012 00:00:00,,,,Tenancy;,TRUE
Existing,Email,Non-student,Potterow,,Int'l,09/08/2012 00:00:00,,City Info;,,Tenancy;,FALSE
Existing,Email,Little France,Potterow,Research,EU,10/08/2012 09:04:34,,,Complaint (Academic) ;,,FALSE
Existing,Email,GS Student,Potterow,UG,Home,10/08/2012 00:00:00,,,Progression;,,FALSE
Existing,Email,Little France,Potterow,Research,EU,10/08/2012 00:00:00,,,Complaint (Academic) ;,,FALSE
Existing,Email,,Potterow,,Home,10/08/2012 09:10:09,,,,Tenancy;,FALSE
Existing,Email,Little France,Potterow,Research,EU,10/08/2012 09:10:52,,,Complaint (Academic) ;,,FALSE
Existing,Email,ECA,Potterow,UG,Home,10/08/2012 00:00:00,,,Academic Appeal;,,FALSE
New,Email,Staff,Potterow,,,10/08/2012 00:00:00,,,Complaint (Academic) ;,,FALSE
Existing,Email,Little France,Potterow,Research,EU,10/08/2012 00:00:00,,,Complaint (Academic) ;,,FALSE
Existing,Email,Little France,Potterow,Research,EU,10/08/2012 00:00:00,,,Complaint (Academic) ;,,FALSE
New,Email,Staff,Potterow,,,10/08/2012 00:00:00,,,Complaint (Academic) ;,,FALSE
New,Email,Staff,Potterow,,,10/08/2012 00:00:00,,,Academic Appeal;,,FALSE
Existing,Email,KB Student,Potterow,UG,Home,10/08/2012 00:00:00,,,Academic Appeal;,,FALSE
Existing,Email,ECA,Potterow,PG Taught,Int'l,10/08/2012 00:00:00,,,Complaint (Academic) ;,,FALSE
Existing,Email,H'Rood Student,Potterow,PG Taught,Int'l,10/08/2012 00:00:00,,,Academic Appeal;,,FALSE
New,Email,GS Student,Potterow,Research,,10/08/2012 00:00:00,,,,Council Tax;,FALSE
New,Email,GS Student,Potterow,PG Taught,Int'l,10/08/2012 00:00:00,,Uni Info;,,,FALSE
Existing,Email,Staff,Potterow,,,10/08/2012 00:00:00,,,Academic Appeal;,,FALSE
New,Email,Unknown,Potterow,,,10/08/2012 09:52:39,,,,Council Tax;,TRUE
New,Email,Non-student,Potterow,,,10/08/2012 00:00:00,,Uni Info;,,,TRUE
